trueloc,n_players,alpha,prop,eps,mech,selection_prop
0.06060606060606055,10,0.03162277660168379,0,0.1,median,0.02
0.06060606060606066,10,0.03162277660168379,0,0.1,median,0.01
0.07070707070707066,10,0.03162277660168379,0,0.1,median,0.01
0.07070707070707072,10,0.03162277660168379,0,0.1,median,0.01
0.08080808080808077,10,0.03162277660168379,0,0.1,median,0.02
0.08080808080808083,10,0.03162277660168379,0,0.1,median,0.02
0.09090909090909094,10,0.03162277660168379,0,0.1,median,0.01
0.101010101010101,10,0.03162277660168379,0,0.1,median,0.01
0.11111111111111105,10,0.03162277660168379,0,0.1,median,0.01
0.11111111111111116,10,0.03162277660168379,0,0.1,median,0.02
0.12121212121212122,10,0.03162277660168379,0,0.1,median,0.01
0.12121212121212127,10,0.03162277660168379,0,0.1,median,0.01
0.13131313131313127,10,0.03162277660168379,0,0.1,median,0.02
0.13131313131313133,10,0.03162277660168379,0,0.1,median,0.01
0.14141414141414138,10,0.03162277660168379,0,0.1,median,0.01
0.14141414141414144,10,0.03162277660168379,0,0.1,median,0.02
0.1515151515151515,10,0.03162277660168379,0,0.1,median,0.01
0.16161616161616155,10,0.03162277660168379,0,0.1,median,0.02
0.16161616161616166,10,0.03162277660168379,0,0.1,median,0.02
0.1717171717171717,10,0.03162277660168379,0,0.1,median,0.02
0.17171717171717182,10,0.03162277660168379,0,0.1,median,0.01
0.18181818181818188,10,0.03162277660168379,0,0.1,median,0.01
0.19191919191919193,10,0.03162277660168379,0,0.1,median,0.04
0.202020202020202,10,0.03162277660168379,0,0.1,median,0.03
0.2020202020202021,10,0.03162277660168379,0,0.1,median,0.01
0.21212121212121204,10,0.03162277660168379,0,0.1,median,0.01
0.2222222222222222,10,0.03162277660168379,0,0.1,median,0.04
0.23232323232323238,10,0.03162277660168379,0,0.1,median,0.03
0.24242424242424243,10,0.03162277660168379,0,0.1,median,0.03
0.2525252525252525,10,0.03162277660168379,0,0.1,median,0.03
0.26262626262626265,10,0.03162277660168379,0,0.1,median,0.02
0.2727272727272727,10,0.03162277660168379,0,0.1,median,0.02
0.28282828282828276,10,0.03162277660168379,0,0.1,median,0.02
0.2828282828282829,10,0.03162277660168379,0,0.1,median,0.01
0.303030303030303,10,0.03162277660168379,0,0.1,median,0.01
0.3030303030303031,10,0.03162277660168379,0,0.1,median,0.01
0.31313131313131315,10,0.03162277660168379,0,0.1,median,0.01
0.3434343434343434,10,0.03162277660168379,0,0.1,median,0.02
0.3535353535353536,10,0.03162277660168379,0,0.1,median,0.01
0.36363636363636365,10,0.03162277660168379,0,0.1,median,0.01
0.3737373737373738,10,0.03162277660168379,0,0.1,median,0.01
0.3939393939393939,10,0.03162277660168379,0,0.1,median,0.01
0.404040404040404,10,0.03162277660168379,0,0.1,median,0.01
0.4040404040404041,10,0.03162277660168379,0,0.1,median,0.02
0.43434343434343436,10,0.03162277660168379,0,0.1,median,0.01
0.46464646464646464,10,0.03162277660168379,0,0.1,median,0.01
0.4747474747474747,10,0.03162277660168379,0,0.1,median,0.02
0.48484848484848486,10,0.03162277660168379,0,0.1,median,0.01
0.5252525252525253,10,0.03162277660168379,0,0.1,median,0.01
0.5454545454545454,10,0.03162277660168379,0,0.1,median,0.01
0.6666666666666666,10,0.03162277660168379,0,0.1,median,0.01
-0.1717171717171717,10,0.03162277660168379,0,0.1,chen12,0.01
-0.1515151515151515,10,0.03162277660168379,0,0.1,chen12,0.01
-0.11111111111111116,10,0.03162277660168379,0,0.1,chen12,0.05
-0.09090909090909094,10,0.03162277660168379,0,0.1,chen12,0.04
-0.07070707070707072,10,0.03162277660168379,0,0.1,chen12,0.08
-0.0505050505050505,10,0.03162277660168379,0,0.1,chen12,0.03
-0.030303030303030276,10,0.03162277660168379,0,0.1,chen12,0.05
-0.010101010101010055,10,0.03162277660168379,0,0.1,chen12,0.09
0.010101010101010166,10,0.03162277660168379,0,0.1,chen12,0.13
0.030303030303030276,10,0.03162277660168379,0,0.1,chen12,0.08
0.05050505050505061,10,0.03162277660168379,0,0.1,chen12,0.08
0.07070707070707072,10,0.03162277660168379,0,0.1,chen12,0.07
0.09090909090909083,10,0.03162277660168379,0,0.1,chen12,0.08
0.11111111111111116,10,0.03162277660168379,0,0.1,chen12,0.07
0.13131313131313127,10,0.03162277660168379,0,0.1,chen12,0.04
0.1515151515151516,10,0.03162277660168379,0,0.1,chen12,0.02
0.1717171717171717,10,0.03162277660168379,0,0.1,chen12,0.02
0.19191919191919182,10,0.03162277660168379,0,0.1,chen12,0.03
0.21212121212121215,10,0.03162277660168379,0,0.1,chen12,0.01
0.2727272727272727,10,0.03162277660168379,0,0.1,chen12,0.01
-0.47474747474747475,10,0.1,0,0.1,median,0.01
-0.41414141414141414,10,0.1,0,0.1,median,0.02
-0.40404040404040403,10,0.1,0,0.1,median,0.01
-0.393939393939394,10,0.1,0,0.1,median,0.01
-0.35353535353535354,10,0.1,0,0.1,median,0.01
-0.33333333333333337,10,0.1,0,0.1,median,0.01
-0.2727272727272727,10,0.1,0,0.1,median,0.02
-0.2626262626262626,10,0.1,0,0.1,median,0.01
-0.25252525252525254,10,0.1,0,0.1,median,0.01
-0.2222222222222222,10,0.1,0,0.1,median,0.01
-0.18181818181818182,10,0.1,0,0.1,median,0.02
-0.1717171717171717,10,0.1,0,0.1,median,0.01
-0.16161616161616166,10,0.1,0,0.1,median,0.01
-0.1616161616161616,10,0.1,0,0.1,median,0.01
-0.14141414141414138,10,0.1,0,0.1,median,0.01
-0.13131313131313127,10,0.1,0,0.1,median,0.01
-0.1111111111111111,10,0.1,0,0.1,median,0.01
-0.10101010101010105,10,0.1,0,0.1,median,0.01
-0.101010101010101,10,0.1,0,0.1,median,0.01
-0.09090909090909088,10,0.1,0,0.1,median,0.01
-0.08080808080808083,10,0.1,0,0.1,median,0.01
-0.07070707070707072,10,0.1,0,0.1,median,0.02
-0.0505050505050505,10,0.1,0,0.1,median,0.03
-0.04040404040404039,10,0.1,0,0.1,median,0.01
-0.03030303030303033,10,0.1,0,0.1,median,0.01
-0.020202020202020166,10,0.1,0,0.1,median,0.01
-0.010101010101010166,10,0.1,0,0.1,median,0.01
-0.010101010101010055,10,0.1,0,0.1,median,0.01
-5.551115123125783e-17,10,0.1,0,0.1,median,0.02
0.0,10,0.1,0,0.1,median,0.01
0.010101010101010055,10,0.1,0,0.1,median,0.04
0.01010101010101011,10,0.1,0,0.1,median,0.03
0.010101010101010166,10,0.1,0,0.1,median,0.01
0.020202020202020166,10,0.1,0,0.1,median,0.01
0.030303030303030276,10,0.1,0,0.1,median,0.01
0.03030303030303033,10,0.1,0,0.1,median,0.01
0.04040404040404039,10,0.1,0,0.1,median,0.01
0.04040404040404044,10,0.1,0,0.1,median,0.01
0.06060606060606055,10,0.1,0,0.1,median,0.01
0.06060606060606066,10,0.1,0,0.1,median,0.02
0.08080808080808077,10,0.1,0,0.1,median,0.01
0.101010101010101,10,0.1,0,0.1,median,0.03
0.12121212121212122,10,0.1,0,0.1,median,0.02
0.12121212121212127,10,0.1,0,0.1,median,0.01
0.13131313131313138,10,0.1,0,0.1,median,0.02
0.14141414141414144,10,0.1,0,0.1,median,0.02
0.16161616161616166,10,0.1,0,0.1,median,0.01
0.1717171717171717,10,0.1,0,0.1,median,0.01
0.18181818181818177,10,0.1,0,0.1,median,0.01
0.18181818181818188,10,0.1,0,0.1,median,0.02
0.19191919191919188,10,0.1,0,0.1,median,0.01
0.19191919191919193,10,0.1,0,0.1,median,0.01
0.21212121212121215,10,0.1,0,0.1,median,0.01
0.2222222222222222,10,0.1,0,0.1,median,0.02
0.24242424242424243,10,0.1,0,0.1,median,0.02
0.2525252525252525,10,0.1,0,0.1,median,0.02
0.2727272727272728,10,0.1,0,0.1,median,0.01
0.28282828282828276,10,0.1,0,0.1,median,0.03
0.29292929292929293,10,0.1,0,0.1,median,0.01
0.303030303030303,10,0.1,0,0.1,median,0.01
0.38383838383838387,10,0.1,0,0.1,median,0.01
0.3939393939393939,10,0.1,0,0.1,median,0.01
0.4040404040404041,10,0.1,0,0.1,median,0.01
0.41414141414141414,10,0.1,0,0.1,median,0.01
0.4242424242424242,10,0.1,0,0.1,median,0.01
0.43434343434343425,10,0.1,0,0.1,median,0.01
0.4545454545454546,10,0.1,0,0.1,median,0.01
0.46464646464646464,10,0.1,0,0.1,median,0.02
0.48484848484848486,10,0.1,0,0.1,median,0.01
0.5151515151515151,10,0.1,0,0.1,median,0.01
0.5353535353535354,10,0.1,0,0.1,median,0.01
0.5555555555555556,10,0.1,0,0.1,median,0.02
0.6161616161616161,10,0.1,0,0.1,median,0.01
0.6868686868686869,10,0.1,0,0.1,median,0.01
-0.1717171717171717,10,0.1,0,0.1,chen12,0.01
-0.13131313131313127,10,0.1,0,0.1,chen12,0.01
-0.11111111111111116,10,0.1,0,0.1,chen12,0.05
-0.09090909090909094,10,0.1,0,0.1,chen12,0.04
-0.07070707070707072,10,0.1,0,0.1,chen12,0.08
-0.0505050505050505,10,0.1,0,0.1,chen12,0.03
-0.030303030303030276,10,0.1,0,0.1,chen12,0.06
-0.010101010101010055,10,0.1,0,0.1,chen12,0.08
0.010101010101010166,10,0.1,0,0.1,chen12,0.13
0.030303030303030276,10,0.1,0,0.1,chen12,0.07
0.05050505050505061,10,0.1,0,0.1,chen12,0.09
0.07070707070707072,10,0.1,0,0.1,chen12,0.07
0.09090909090909083,10,0.1,0,0.1,chen12,0.08
0.11111111111111116,10,0.1,0,0.1,chen12,0.07
0.13131313131313127,10,0.1,0,0.1,chen12,0.04
0.1515151515151516,10,0.1,0,0.1,chen12,0.02
0.1717171717171717,10,0.1,0,0.1,chen12,0.02
0.19191919191919182,10,0.1,0,0.1,chen12,0.03
0.21212121212121215,10,0.1,0,0.1,chen12,0.01
0.2727272727272727,10,0.1,0,0.1,chen12,0.01
-0.7070707070707071,10,0.31622776601683794,0,0.1,median,0.01
-0.6464646464646464,10,0.31622776601683794,0,0.1,median,0.01
-0.6363636363636364,10,0.31622776601683794,0,0.1,median,0.01
-0.5353535353535354,10,0.31622776601683794,0,0.1,median,0.01
-0.5151515151515151,10,0.31622776601683794,0,0.1,median,0.01
-0.43434343434343436,10,0.31622776601683794,0,0.1,median,0.01
-0.38383838383838387,10,0.31622776601683794,0,0.1,median,0.01
-0.36363636363636365,10,0.31622776601683794,0,0.1,median,0.02
-0.35353535353535354,10,0.31622776601683794,0,0.1,median,0.01
-0.3333333333333333,10,0.31622776601683794,0,0.1,median,0.01
-0.30303030303030304,10,0.31622776601683794,0,0.1,median,0.01
-0.29292929292929293,10,0.31622776601683794,0,0.1,median,0.01
-0.2828282828282828,10,0.31622776601683794,0,0.1,median,0.02
-0.27272727272727276,10,0.31622776601683794,0,0.1,median,0.01
-0.24242424242424243,10,0.31622776601683794,0,0.1,median,0.01
-0.23232323232323238,10,0.31622776601683794,0,0.1,median,0.02
-0.23232323232323232,10,0.31622776601683794,0,0.1,median,0.02
-0.20202020202020204,10,0.31622776601683794,0,0.1,median,0.02
-0.19191919191919193,10,0.31622776601683794,0,0.1,median,0.03
-0.19191919191919188,10,0.31622776601683794,0,0.1,median,0.01
-0.18181818181818182,10,0.31622776601683794,0,0.1,median,0.01
-0.1717171717171717,10,0.31622776601683794,0,0.1,median,0.01
-0.1616161616161616,10,0.31622776601683794,0,0.1,median,0.01
-0.15151515151515155,10,0.31622776601683794,0,0.1,median,0.02
-0.13131313131313127,10,0.31622776601683794,0,0.1,median,0.01
-0.12121212121212122,10,0.31622776601683794,0,0.1,median,0.01
-0.1111111111111111,10,0.31622776601683794,0,0.1,median,0.01
-0.101010101010101,10,0.31622776601683794,0,0.1,median,0.01
-0.09090909090909088,10,0.31622776601683794,0,0.1,median,0.02
-0.08080808080808083,10,0.31622776601683794,0,0.1,median,0.01
-0.08080808080808077,10,0.31622776601683794,0,0.1,median,0.02
-0.07070707070707066,10,0.31622776601683794,0,0.1,median,0.01
-0.0505050505050505,10,0.31622776601683794,0,0.1,median,0.03
-0.020202020202020166,10,0.31622776601683794,0,0.1,median,0.01
-5.551115123125783e-17,10,0.31622776601683794,0,0.1,median,0.01
0.0,10,0.31622776601683794,0,0.1,median,0.01
0.01010101010101011,10,0.31622776601683794,0,0.1,median,0.01
0.010101010101010166,10,0.31622776601683794,0,0.1,median,0.01
0.02020202020202022,10,0.31622776601683794,0,0.1,median,0.02
0.020202020202020277,10,0.31622776601683794,0,0.1,median,0.01
0.03030303030303033,10,0.31622776601683794,0,0.1,median,0.01
0.04040404040404044,10,0.31622776601683794,0,0.1,median,0.02
0.0505050505050505,10,0.31622776601683794,0,0.1,median,0.02
0.06060606060606066,10,0.31622776601683794,0,0.1,median,0.01
0.08080808080808077,10,0.31622776601683794,0,0.1,median,0.01
0.08080808080808083,10,0.31622776601683794,0,0.1,median,0.01
0.08080808080808088,10,0.31622776601683794,0,0.1,median,0.01
0.09090909090909094,10,0.31622776601683794,0,0.1,median,0.01
0.11111111111111105,10,0.31622776601683794,0,0.1,median,0.02
0.1111111111111111,10,0.31622776601683794,0,0.1,median,0.01
0.12121212121212122,10,0.31622776601683794,0,0.1,median,0.02
0.12121212121212127,10,0.31622776601683794,0,0.1,median,0.01
0.13131313131313127,10,0.31622776601683794,0,0.1,median,0.01
0.14141414141414144,10,0.31622776601683794,0,0.1,median,0.01
0.16161616161616155,10,0.31622776601683794,0,0.1,median,0.01
0.18181818181818177,10,0.31622776601683794,0,0.1,median,0.01
0.18181818181818188,10,0.31622776601683794,0,0.1,median,0.04
0.21212121212121215,10,0.31622776601683794,0,0.1,median,0.01
0.2222222222222222,10,0.31622776601683794,0,0.1,median,0.02
0.22222222222222232,10,0.31622776601683794,0,0.1,median,0.01
0.24242424242424243,10,0.31622776601683794,0,0.1,median,0.03
0.2525252525252526,10,0.31622776601683794,0,0.1,median,0.01
0.2828282828282829,10,0.31622776601683794,0,0.1,median,0.01
0.303030303030303,10,0.31622776601683794,0,0.1,median,0.02
0.31313131313131315,10,0.31622776601683794,0,0.1,median,0.01
0.36363636363636365,10,0.31622776601683794,0,0.1,median,0.01
0.3737373737373738,10,0.31622776601683794,0,0.1,median,0.02
0.38383838383838387,10,0.31622776601683794,0,0.1,median,0.01
0.43434343434343436,10,0.31622776601683794,0,0.1,median,0.01
0.4545454545454546,10,0.31622776601683794,0,0.1,median,0.01
0.48484848484848486,10,0.31622776601683794,0,0.1,median,0.01
0.5454545454545454,10,0.31622776601683794,0,0.1,median,0.01
0.5555555555555556,10,0.31622776601683794,0,0.1,median,0.01
0.6868686868686869,10,0.31622776601683794,0,0.1,median,0.01
0.7070707070707071,10,0.31622776601683794,0,0.1,median,0.01
-0.1717171717171717,10,0.31622776601683794,0,0.1,chen12,0.01
-0.13131313131313127,10,0.31622776601683794,0,0.1,chen12,0.01
-0.11111111111111116,10,0.31622776601683794,0,0.1,chen12,0.05
-0.09090909090909094,10,0.31622776601683794,0,0.1,chen12,0.04
-0.07070707070707072,10,0.31622776601683794,0,0.1,chen12,0.08
-0.0505050505050505,10,0.31622776601683794,0,0.1,chen12,0.03
-0.030303030303030276,10,0.31622776601683794,0,0.1,chen12,0.06
-0.010101010101010055,10,0.31622776601683794,0,0.1,chen12,0.08
0.010101010101010166,10,0.31622776601683794,0,0.1,chen12,0.13
0.030303030303030276,10,0.31622776601683794,0,0.1,chen12,0.07
0.05050505050505061,10,0.31622776601683794,0,0.1,chen12,0.09
0.07070707070707072,10,0.31622776601683794,0,0.1,chen12,0.07
0.09090909090909083,10,0.31622776601683794,0,0.1,chen12,0.08
0.11111111111111116,10,0.31622776601683794,0,0.1,chen12,0.07
0.13131313131313127,10,0.31622776601683794,0,0.1,chen12,0.04
0.1515151515151516,10,0.31622776601683794,0,0.1,chen12,0.02
0.1717171717171717,10,0.31622776601683794,0,0.1,chen12,0.02
0.19191919191919182,10,0.31622776601683794,0,0.1,chen12,0.03
0.21212121212121215,10,0.31622776601683794,0,0.1,chen12,0.01
0.2727272727272727,10,0.31622776601683794,0,0.1,chen12,0.01
-0.6565656565656566,10,1.0,0,0.1,median,0.01
-0.6464646464646464,10,1.0,0,0.1,median,0.01
-0.6363636363636364,10,1.0,0,0.1,median,0.01
-0.5757575757575758,10,1.0,0,0.1,median,0.01
-0.5454545454545454,10,1.0,0,0.1,median,0.01
-0.5151515151515151,10,1.0,0,0.1,median,0.01
-0.5050505050505051,10,1.0,0,0.1,median,0.01
-0.494949494949495,10,1.0,0,0.1,median,0.01
-0.45454545454545453,10,1.0,0,0.1,median,0.01
-0.35353535353535354,10,1.0,0,0.1,median,0.01
-0.3333333333333333,10,1.0,0,0.1,median,0.01
-0.31313131313131315,10,1.0,0,0.1,median,0.01
-0.30303030303030304,10,1.0,0,0.1,median,0.01
-0.29292929292929293,10,1.0,0,0.1,median,0.03
-0.27272727272727276,10,1.0,0,0.1,median,0.02
-0.25252525252525254,10,1.0,0,0.1,median,0.01
-0.24242424242424243,10,1.0,0,0.1,median,0.01
-0.23232323232323232,10,1.0,0,0.1,median,0.01
-0.20202020202020204,10,1.0,0,0.1,median,0.02
-0.19191919191919193,10,1.0,0,0.1,median,0.02
-0.18181818181818182,10,1.0,0,0.1,median,0.02
