trueloc,n_players,alpha,prop,eps,mech,selection_prop
-0.30000000000000004,9,0.1,0,0.1,chen12,0.02
-0.19999999999999996,9,0.1,0,0.1,chen12,0.15
-0.09999999999999998,9,0.1,0,0.1,chen12,0.23
0.0,9,0.1,0,0.1,chen12,0.2
0.10000000000000009,9,0.1,0,0.1,chen12,0.18
0.19999999999999996,9,0.1,0,0.1,chen12,0.15
0.30000000000000004,9,0.1,0,0.1,chen12,0.03
0.3999999999999999,9,0.1,0,0.1,chen12,0.01
-0.7,9,0.2,0,0.1,median,0.01
-0.6,9,0.2,0,0.1,median,0.04
-0.5,9,0.2,0,0.1,median,0.01
-0.4,9,0.2,0,0.1,median,0.04
-0.30000000000000004,9,0.2,0,0.1,median,0.14
-0.19999999999999996,9,0.2,0,0.1,median,0.06
-0.09999999999999998,9,0.2,0,0.1,median,0.24
0.0,9,0.2,0,0.1,median,0.11
0.10000000000000009,9,0.2,0,0.1,median,0.09
0.19999999999999996,9,0.2,0,0.1,median,0.11
0.30000000000000004,9,0.2,0,0.1,median,0.04
0.3999999999999999,9,0.2,0,0.1,median,0.03
0.5,9,0.2,0,0.1,median,0.03
0.6000000000000001,9,0.2,0,0.1,median,0.04
0.8,9,0.2,0,0.1,median,0.01
-0.5,9,0.2,0,0.1,chen12,0.01
-0.4,9,0.2,0,0.1,chen12,0.02
-0.30000000000000004,9,0.2,0,0.1,chen12,0.02
-0.19999999999999996,9,0.2,0,0.1,chen12,0.15
-0.09999999999999998,9,0.2,0,0.1,chen12,0.23
0.0,9,0.2,0,0.1,chen12,0.2
0.10000000000000009,9,0.2,0,0.1,chen12,0.18
0.19999999999999996,9,0.2,0,0.1,chen12,0.15
0.30000000000000004,9,0.2,0,0.1,chen12,0.03
0.3999999999999999,9,0.2,0,0.1,chen12,0.01
-0.7,9,0.3,0,0.1,median,0.01
-0.6,9,0.3,0,0.1,median,0.04
-0.5,9,0.3,0,0.1,median,0.01
-0.4,9,0.3,0,0.1,median,0.04
-0.30000000000000004,9,0.3,0,0.1,median,0.14
-0.19999999999999996,9,0.3,0,0.1,median,0.06
-0.09999999999999998,9,0.3,0,0.1,median,0.24
0.0,9,0.3,0,0.1,median,0.11
0.10000000000000009,9,0.3,0,0.1,median,0.09
0.19999999999999996,9,0.3,0,0.1,median,0.11
0.30000000000000004,9,0.3,0,0.1,median,0.04
0.3999999999999999,9,0.3,0,0.1,median,0.03
0.5,9,0.3,0,0.1,median,0.03
0.6000000000000001,9,0.3,0,0.1,median,0.04
0.8,9,0.3,0,0.1,median,0.01
-0.5,9,0.3,0,0.1,chen12,0.01
-0.4,9,0.3,0,0.1,chen12,0.02
-0.30000000000000004,9,0.3,0,0.1,chen12,0.02
-0.19999999999999996,9,0.3,0,0.1,chen12,0.15
-0.09999999999999998,9,0.3,0,0.1,chen12,0.23
0.0,9,0.3,0,0.1,chen12,0.2
0.10000000000000009,9,0.3,0,0.1,chen12,0.18
0.19999999999999996,9,0.3,0,0.1,chen12,0.15
0.30000000000000004,9,0.3,0,0.1,chen12,0.03
0.3999999999999999,9,0.3,0,0.1,chen12,0.01
-0.7,9,0.4,0,0.1,median,0.01
-0.6,9,0.4,0,0.1,median,0.04
-0.5,9,0.4,0,0.1,median,0.01
-0.4,9,0.4,0,0.1,median,0.04
-0.30000000000000004,9,0.4,0,0.1,median,0.14
-0.19999999999999996,9,0.4,0,0.1,median,0.07
-0.09999999999999998,9,0.4,0,0.1,median,0.23
0.0,9,0.4,0,0.1,median,0.11
0.10000000000000009,9,0.4,0,0.1,median,0.08
0.19999999999999996,9,0.4,0,0.1,median,0.11
0.30000000000000004,9,0.4,0,0.1,median,0.04
0.3999999999999999,9,0.4,0,0.1,median,0.04
0.5,9,0.4,0,0.1,median,0.03
0.6000000000000001,9,0.4,0,0.1,median,0.04
0.8,9,0.4,0,0.1,median,0.01
-0.5,9,0.4,0,0.1,chen12,0.01
-0.4,9,0.4,0,0.1,chen12,0.02
-0.30000000000000004,9,0.4,0,0.1,chen12,0.02
-0.19999999999999996,9,0.4,0,0.1,chen12,0.15
-0.09999999999999998,9,0.4,0,0.1,chen12,0.23
0.0,9,0.4,0,0.1,chen12,0.2
0.10000000000000009,9,0.4,0,0.1,chen12,0.18
0.19999999999999996,9,0.4,0,0.1,chen12,0.15
0.30000000000000004,9,0.4,0,0.1,chen12,0.03
0.3999999999999999,9,0.4,0,0.1,chen12,0.01
-0.7,9,0.5,0,0.1,median,0.01
-0.6,9,0.5,0,0.1,median,0.04
-0.5,9,0.5,0,0.1,median,0.01
-0.4,9,0.5,0,0.1,median,0.03
-0.30000000000000004,9,0.5,0,0.1,median,0.14
-0.19999999999999996,9,0.5,0,0.1,median,0.08
-0.09999999999999998,9,0.5,0,0.1,median,0.23
0.0,9,0.5,0,0.1,median,0.12
0.10000000000000009,9,0.5,0,0.1,median,0.08
0.19999999999999996,9,0.5,0,0.1,median,0.11
0.30000000000000004,9,0.5,0,0.1,median,0.03
0.3999999999999999,9,0.5,0,0.1,median,0.04
0.5,9,0.5,0,0.1,median,0.04
0.6000000000000001,9,0.5,0,0.1,median,0.04
-0.5,9,0.5,0,0.1,chen12,0.01
-0.4,9,0.5,0,0.1,chen12,0.02
-0.30000000000000004,9,0.5,0,0.1,chen12,0.02
-0.19999999999999996,9,0.5,0,0.1,chen12,0.15
-0.09999999999999998,9,0.5,0,0.1,chen12,0.23
0.0,9,0.5,0,0.1,chen12,0.2
0.10000000000000009,9,0.5,0,0.1,chen12,0.18
0.19999999999999996,9,0.5,0,0.1,chen12,0.15
0.30000000000000004,9,0.5,0,0.1,chen12,0.03
0.3999999999999999,9,0.5,0,0.1,chen12,0.01
-0.7,9,0.6,0,0.1,median,0.01
-0.6,9,0.6,0,0.1,median,0.04
-0.5,9,0.6,0,0.1,median,0.01
-0.4,9,0.6,0,0.1,median,0.03
-0.30000000000000004,9,0.6,0,0.1,median,0.14
-0.19999999999999996,9,0.6,0,0.1,median,0.08
-0.09999999999999998,9,0.6,0,0.1,median,0.23
0.0,9,0.6,0,0.1,median,0.12
0.10000000000000009,9,0.6,0,0.1,median,0.08
0.19999999999999996,9,0.6,0,0.1,median,0.11
0.30000000000000004,9,0.6,0,0.1,median,0.03
0.3999999999999999,9,0.6,0,0.1,median,0.04
0.5,9,0.6,0,0.1,median,0.04
0.6000000000000001,9,0.6,0,0.1,median,0.04
-0.5,9,0.6,0,0.1,chen12,0.01
-0.4,9,0.6,0,0.1,chen12,0.02
-0.30000000000000004,9,0.6,0,0.1,chen12,0.02
-0.19999999999999996,9,0.6,0,0.1,chen12,0.15
-0.09999999999999998,9,0.6,0,0.1,chen12,0.23
0.0,9,0.6,0,0.1,chen12,0.2
0.10000000000000009,9,0.6,0,0.1,chen12,0.18
0.19999999999999996,9,0.6,0,0.1,chen12,0.15
0.30000000000000004,9,0.6,0,0.1,chen12,0.03
0.3999999999999999,9,0.6,0,0.1,chen12,0.01
-0.7,9,0.7,0,0.1,median,0.01
-0.6,9,0.7,0,0.1,median,0.04
-0.5,9,0.7,0,0.1,median,0.01
-0.4,9,0.7,0,0.1,median,0.03
-0.30000000000000004,9,0.7,0,0.1,median,0.14
-0.19999999999999996,9,0.7,0,0.1,median,0.08
-0.09999999999999998,9,0.7,0,0.1,median,0.22
0.0,9,0.7,0,0.1,median,0.12
0.10000000000000009,9,0.7,0,0.1,median,0.08
0.19999999999999996,9,0.7,0,0.1,median,0.12
0.30000000000000004,9,0.7,0,0.1,median,0.03
0.3999999999999999,9,0.7,0,0.1,median,0.04
0.5,9,0.7,0,0.1,median,0.04
0.6000000000000001,9,0.7,0,0.1,median,0.04
-0.5,9,0.7,0,0.1,chen12,0.01
-0.4,9,0.7,0,0.1,chen12,0.02
-0.30000000000000004,9,0.7,0,0.1,chen12,0.02
-0.19999999999999996,9,0.7,0,0.1,chen12,0.15
-0.09999999999999998,9,0.7,0,0.1,chen12,0.23
0.0,9,0.7,0,0.1,chen12,0.2
0.10000000000000009,9,0.7,0,0.1,chen12,0.18
0.19999999999999996,9,0.7,0,0.1,chen12,0.15
0.30000000000000004,9,0.7,0,0.1,chen12,0.03
0.3999999999999999,9,0.7,0,0.1,chen12,0.01
-0.7,9,0.8,0,0.1,median,0.01
-0.6,9,0.8,0,0.1,median,0.04
-0.5,9,0.8,0,0.1,median,0.01
-0.4,9,0.8,0,0.1,median,0.03
-0.30000000000000004,9,0.8,0,0.1,median,0.13
-0.19999999999999996,9,0.8,0,0.1,median,0.08
-0.09999999999999998,9,0.8,0,0.1,median,0.22
0.0,9,0.8,0,0.1,median,0.12
0.10000000000000009,9,0.8,0,0.1,median,0.09
0.19999999999999996,9,0.8,0,0.1,median,0.12
0.30000000000000004,9,0.8,0,0.1,median,0.05
0.3999999999999999,9,0.8,0,0.1,median,0.04
0.5,9,0.8,0,0.1,median,0.04
0.6000000000000001,9,0.8,0,0.1,median,0.02
-0.5,9,0.8,0,0.1,chen12,0.01
-0.4,9,0.8,0,0.1,chen12,0.02
-0.30000000000000004,9,0.8,0,0.1,chen12,0.02
-0.19999999999999996,9,0.8,0,0.1,chen12,0.15
-0.09999999999999998,9,0.8,0,0.1,chen12,0.23
0.0,9,0.8,0,0.1,chen12,0.2
0.10000000000000009,9,0.8,0,0.1,chen12,0.18
0.19999999999999996,9,0.8,0,0.1,chen12,0.15
0.30000000000000004,9,0.8,0,0.1,chen12,0.03
0.3999999999999999,9,0.8,0,0.1,chen12,0.01
-0.7,9,0.9,0,0.1,median,0.01
-0.6,9,0.9,0,0.1,median,0.04
-0.5,9,0.9,0,0.1,median,0.01
-0.4,9,0.9,0,0.1,median,0.03
-0.30000000000000004,9,0.9,0,0.1,median,0.13
-0.19999999999999996,9,0.9,0,0.1,median,0.08
-0.09999999999999998,9,0.9,0,0.1,median,0.21
0.0,9,0.9,0,0.1,median,0.12
0.10000000000000009,9,0.9,0,0.1,median,0.09
0.19999999999999996,9,0.9,0,0.1,median,0.13
0.30000000000000004,9,0.9,0,0.1,median,0.05
0.3999999999999999,9,0.9,0,0.1,median,0.04
0.5,9,0.9,0,0.1,median,0.04
0.6000000000000001,9,0.9,0,0.1,median,0.02
-0.5,9,0.9,0,0.1,chen12,0.01
-0.4,9,0.9,0,0.1,chen12,0.02
-0.30000000000000004,9,0.9,0,0.1,chen12,0.02
-0.19999999999999996,9,0.9,0,0.1,chen12,0.15
-0.09999999999999998,9,0.9,0,0.1,chen12,0.23
0.0,9,0.9,0,0.1,chen12,0.2
0.10000000000000009,9,0.9,0,0.1,chen12,0.18
0.19999999999999996,9,0.9,0,0.1,chen12,0.15
0.30000000000000004,9,0.9,0,0.1,chen12,0.03
0.3999999999999999,9,0.9,0,0.1,chen12,0.01
-0.7,9,1.0,0,0.1,median,0.01
-0.6,9,1.0,0,0.1,median,0.04
-0.5,9,1.0,0,0.1,median,0.01
-0.4,9,1.0,0,0.1,median,0.03
-0.30000000000000004,9,1.0,0,0.1,median,0.13
-0.19999999999999996,9,1.0,0,0.1,median,0.08
-0.09999999999999998,9,1.0,0,0.1,median,0.21
0.0,9,1.0,0,0.1,median,0.12
0.10000000000000009,9,1.0,0,0.1,median,0.09
0.19999999999999996,9,1.0,0,0.1,median,0.13
0.30000000000000004,9,1.0,0,0.1,median,0.05
0.3999999999999999,9,1.0,0,0.1,median,0.04
0.5,9,1.0,0,0.1,median,0.04
0.6000000000000001,9,1.0,0,0.1,median,0.02
-0.5,9,1.0,0,0.1,chen12,0.01
-0.4,9,1.0,0,0.1,chen12,0.02
-0.30000000000000004,9,1.0,0,0.1,chen12,0.02
-0.19999999999999996,9,1.0,0,0.1,chen12,0.15
-0.09999999999999998,9,1.0,0,0.1,chen12,0.23
0.0,9,1.0,0,0.1,chen12,0.2
0.10000000000000009,9,1.0,0,0.1,chen12,0.18
0.19999999999999996,9,1.0,0,0.1,chen12,0.15
0.30000000000000004,9,1.0,0,0.1,chen12,0.03
0.3999999999999999,9,1.0,0,0.1,chen12,0.01
